"Products by %s: %s","Товары по %s: %s"
"New %s Info Page for %s (in %s store)","Новая инфо страница для %s (в магазине %s)"
"Edit %s Info Page for %s (in %s store)","Редактировать инфо страницу для %s (в магазине %s)"
"List of products for this %s","Просмотреть все товары по этому %s"
"Visit %s on the web","Посетить %s"
"Manufacturers","Все производители"
"All manufacturers","Все производители"
"Our favorite manufacturers","Избранные производители"
"or","или"
"View all manufacturers","Просмотреть всех произодителей"
"Favorite manufacturers","Избранные производители"
